年份,省份,城市,员工人数,营业额,利润
2017,北京,北京,1245,71724,35722.1
2017,上海,上海,1312,43724,5722.1
2017,香港,香港,2450,32724,12722.1
2017,澳门,澳门,323,11724,722.1
2017,河北,石家庄,599,15459,1236.72
2017,河北,邯郸,629,67484,-14846.48
2017,河北,邢台,877,72841,16025.02
2017,河北,保定,641,84912,849.12
2017,河北,张家口,242,69326,-20797.8
2017,河北,承德,221,65060,-8457.8
2017,河北,廊坊,365,83611,13377.76
2017,河北,唐山,299,97200,23328
2017,河北,秦皇岛,972,3145,943.5
2017,河北,沧州,289,3241,972.3
2017,河北,衡水,415,28853,-2019.71
2017,山西,太原,770,6245,1498.8
2017,山西,大同,821,84753,37291.32
2017,山西,阳泉,763,60641,-2425.64
2017,山西,长治,71,94226,8480.34
2017,山西,晋城,707,12589,3399.03
2017,山西,朔州,346,48159,21671.55
2017,山西,吕梁,740,18884,4909.84
2017,山西,忻州,605,98496,6894.72
2017,山西,晋中,708,26772,5086.68
2017,山西,临汾,913,79298,26961.32
2017,山西,运城,941,22491,3148.74
2017,内蒙古,呼和浩特,375,62446,23105.02
2017,内蒙古,包头,331,66775,14022.75
2017,内蒙古,乌海,347,87946,14950.82
2017,内蒙古,赤峰,917,6081,-1277.01
2017,内蒙古,呼伦贝尔盟,545,44602,20070.9
2017,内蒙古,阿拉善盟,184,62512,20628.96
2017,内蒙古,哲里木盟,93,82821,26502.72
2017,内蒙古,兴安盟,417,13580,3259.2
2017,内蒙古,乌兰察布盟,394,64687,1293.74
2017,内蒙古,锡林郭勒盟,381,90880,40896
2017,内蒙古,巴彦淖尔盟,290,40487,-1214.61
2017,内蒙古,伊克昭盟,671,14012,4203.6
2017,辽宁,沈阳,797,217,88.97
2017,辽宁,大连,719,40465,18209.25
2017,辽宁,鞍山,954,61203,6732.33
2017,辽宁,抚顺,85,5589,391.23
2017,辽宁,本溪,896,47015,-10813.45
2017,辽宁,丹东,298,80179,-24053.7
2017,辽宁,锦州,404,54972,-549.72
2017,辽宁,营口,427,27950,11180
2017,辽宁,阜新,337,74214,23006.34
2017,辽宁,辽阳,247,91713,43105.11
2017,辽宁,盘锦,539,5060,2428.8
2017,辽宁,铁岭,572,75324,26363.4
2017,辽宁,朝阳,257,69930,12587.4
2017,辽宁,葫芦岛,636,14943,5528.91
2017,吉林,长春,526,99503,40796.23
2017,吉林,吉林,654,87338,-6987.04
2017,吉林,四平,232,16324,7182.56
2017,吉林,辽源,507,89700,5382
2017,吉林,通化,326,54225,-7049.25
2017,吉林,白山,205,75404,3770.2
2017,吉林,松原,597,87225,0
2017,吉林,白城,970,68428,-9579.92
2017,吉林,延边,349,2740,794.6
2017,黑龙江,哈尔滨,135,6211,1739.08
2017,黑龙江,齐齐哈尔,422,17993,1799.3
2017,黑龙江,牡丹江,540,93540,3741.6
2017,黑龙江,佳木斯,551,82586,27253.38
2017,黑龙江,大庆,571,10337,1860.66
2017,黑龙江,绥化,312,59086,-7090.32
2017,黑龙江,鹤岗,282,42920,5579.6
2017,黑龙江,鸡西,770,753,112.95
2017,黑龙江,黑河,772,52219,-6266.28
2017,黑龙江,双鸭山,840,56018,10643.42
2017,黑龙江,伊春,973,21564,8625.6
2017,黑龙江,七台河,137,67909,-19693.61
2017,黑龙江,大兴安岭,728,21441,4288.2
2017,江苏,南京,645,26098,260.98
2017,江苏,镇江,115,49955,9991
2017,江苏,苏州,891,61406,30703
2017,江苏,南通,998,46037,20256.28
2017,江苏,扬州,997,34547,1727.35
2017,江苏,盐城,592,72697,26897.89
2017,江苏,徐州,123,58609,-11135.71
2017,江苏,连云港,388,94254,-22620.96
2017,江苏,常州,707,91617,-21988.08
2017,江苏,无锡,348,39428,-11434.12
2017,江苏,宿迁,359,29892,14049.24
2017,江苏,泰州,836,96370,9637
2017,江苏,淮安,731,78270,-13305.9
2017,浙江,杭州,198,99480,2984.4
2017,浙江,宁波,349,37857,7571.4
2017,浙江,温州,694,18143,1995.73
2017,浙江,嘉兴,57,70346,14069.2
2017,浙江,湖州,965,25828,7748.4
2017,浙江,绍兴,949,69549,3477.45
2017,浙江,金华,298,20425,5923.25
2017,浙江,衢州,816,11258,4728.36
2017,浙江,舟山,779,66096,9253.44
2017,浙江,台州,523,26411,10300.29
2017,浙江,丽水,288,94390,42475.5
2017,安徽,合肥,931,61572,-615.72
2017,安徽,芜湖,480,52878,5816.58
2017,安徽,蚌埠,352,79454,-23836.2
2017,安徽,马鞍山,765,16551,-993.06
2017,安徽,淮北,424,47805,-12907.35
2017,安徽,铜陵,615,36259,-8702.16
2017,安徽,安庆,614,21547,-5602.22
2017,安徽,黄山,518,5719,1315.37
2017,安徽,滁州,518,12199,243.98
2017,安徽,宿州,401,971,-145.65
2017,安徽,池州,775,29754,595.08
2017,安徽,淮南,974,15018,-1501.8
2017,安徽,巢湖,853,30121,-4819.36
2017,安徽,阜阳,133,86786,21696.5
2017,安徽,六安,606,93166,-23291.5
2017,安徽,宣城,346,46839,12646.53
2017,安徽,亳州,628,64706,-647.06
2017,福建,福州,468,62423,27466.12
2017,福建,厦门,256,70443,14088.6
2017,福建,莆田,319,36802,-7728.42
2017,福建,三明,836,8105,1215.75
2017,福建,泉州,203,47800,18642
2017,福建,漳州,846,13698,4794.3
2017,福建,南平,708,79634,13537.78
2017,福建,龙岩,219,6475,2007.25
2017,福建,宁德,350,52267,13066.75
2017,江西,南昌市,26,732,117.12
2017,江西,景德镇,57,79520,-3180.8
2017,江西,九江,833,81222,-12183.3
2017,江西,鹰潭,912,75040,35268.8
2017,江西,萍乡,562,21807,4579.47
2017,江西,新馀,480,60224,22885.12
2017,江西,赣州,643,23658,1182.9
2017,江西,吉安,236,49582,8924.76
2017,江西,宜春,660,35232,7046.4
2017,江西,抚州,189,89769,-14363.04
2017,江西,上饶,363,4521,-497.31
2017,山东,济南,316,32221,644.42
2017,山东,青岛,179,47297,-3310.79
2017,山东,淄博,268,57775,-15021.5
2017,山东,枣庄,556,63058,11350.44
2017,山东,东营,157,84407,22789.89
2017,山东,烟台,99,72997,-16789.31
2017,山东,潍坊,862,4555,364.4
2017,山东,济宁,632,37774,-5666.1
2017,山东,泰安,839,47508,-7126.2
2017,山东,威海,951,69647,18108.22
2017,山东,日照,14,34389,3782.79
2017,山东,莱芜,100,53089,-530.89
2017,山东,临沂,751,97436,15589.76
2017,山东,德州,371,79788,-8776.68
2017,山东,聊城,193,67636,-4058.16
2017,山东,滨州,876,41792,-3343.36
2017,山东,菏泽,198,48216,5785.92
2017,山东,博兴,291,16370,-2291.8
